MDM4;chr1;204516406;204558120
MYCN;chr2;15940550;15947004
GLI2;chr2;118761791;118987578
FGFR3/TACC3;chr4;1721521;1808867
PDGFRA;chr4;54229293;54298245
TERT;chr5;1253167;1295068
MYB;chr6;135181308;135219172
EGFR;chr7;55019017;55211628
CDK6;chr7;92604921;92836573
MET;chr7;116672196;116798377
KIAA1549/BRAF;chr7;138831381;140924929
FGFR1/TACC1;chr8;38411143;38853028
MYBL1;chr8;66562175;66613218
MYC;chr8;127735434;127742951
CDKN2A/B;chr9;21967751;22009312
PTCH1;chr9;95442980;95516971
PTEN;chr10;87863625;87971930
MGMT;chr10;129467241;129770983
CCND1;chr11;69641156;69654474
CCND2;chr12;4273762;4305353
CDK4;chr12;57747727;57752310
MDM2;chr12;68808172;68850686
RB1;chr13;48303751;48481890
TP53;chr17;7668421;7687490
NF1;chr17;31094927;31377677
PPM1D;chr17;60600193;60666280
C19MC;chr19;53787675;53787741
SMARCB1;chr22;23786966;23838009
NF2;chr22;29603556;29698600
